                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 0.9588,                 2.9986,                 1.7135,                0.52838,                0.61083,                0.63458,                0.56114,                 0.6306,                 1.9012,                 1.5553,             5.4755e-05,             5.4755e-05,             5.4755e-05
                     33,                0.91817,                 2.9426,                 1.6799,                0.54688,                0.63501,                0.65976,                 0.5662,                0.68164,                 1.8635,                 1.6068,             5.3973e-05,             5.3973e-05,             5.3973e-05
                     34,                0.96156,                 2.8281,                 1.6764,                 0.5945,                0.62624,                0.70294,                0.62162,                0.63131,                 1.8588,                   1.52,             5.3191e-05,             5.3191e-05,             5.3191e-05
                     35,                0.90828,                 2.7696,                 1.6366,                0.55738,                0.67325,                0.69882,                0.61518,                0.64246,                  1.822,                 1.4858,             5.2409e-05,             5.2409e-05,             5.2409e-05
                     36,                0.93611,                 2.7652,                 1.6667,                0.57099,                 0.6605,                0.70799,                 0.6147,                0.62794,                 1.7126,                 1.4932,             5.1626e-05,             5.1626e-05,             5.1626e-05
                     37,                0.89296,                 2.6269,                 1.5967,                0.60993,                0.66854,                0.73496,                0.65428,                0.57306,                 1.6459,                 1.4145,             5.0844e-05,             5.0844e-05,             5.0844e-05
                     38,                 0.9086,                 2.7304,                 1.6225,                0.60467,                0.68064,                0.74922,                0.66386,                0.59837,                 1.5793,                 1.4488,             5.0062e-05,             5.0062e-05,             5.0062e-05
                     39,                0.86561,                 2.6505,                 1.5924,                0.52335,                0.66042,                0.70146,                0.61639,                0.59974,                 1.7311,                 1.4339,              4.928e-05,              4.928e-05,              4.928e-05
                     40,                 0.8692,                 2.5774,                  1.572,                0.56323,                0.67699,                 0.7383,                0.65062,                0.62961,                 1.7051,                 1.4771,             4.8498e-05,             4.8498e-05,             4.8498e-05
                     41,                 0.9087,                  2.611,                 1.6199,                0.73922,                0.61426,                0.76071,                0.66846,                0.59303,                 1.5427,                 1.3958,             4.7716e-05,             4.7716e-05,             4.7716e-05
                     42,                0.83666,                 2.4405,                 1.5165,                0.70698,                0.65415,                0.77385,                0.69111,                0.56229,                 1.5201,                 1.3587,             4.6934e-05,             4.6934e-05,             4.6934e-05
                     43,                0.86404,                 2.5126,                 1.5289,                0.64942,                0.75267,                0.81162,                0.72789,                0.57786,                 1.4689,                 1.3842,             4.6152e-05,             4.6152e-05,             4.6152e-05
                     44,                0.85028,                 2.5267,                  1.543,                0.64805,                0.73498,                0.79069,                0.68906,                0.61507,                 1.5253,                 1.4157,              4.537e-05,              4.537e-05,              4.537e-05
                     45,                0.78664,                  2.381,                   1.49,                0.66545,                0.73527,                0.79475,                 0.7174,                0.56998,                 1.4653,                 1.3513,             4.4588e-05,             4.4588e-05,             4.4588e-05
                     46,                0.82618,                  2.362,                 1.5323,                0.67393,                0.77119,                0.82978,                0.74156,                0.56036,                 1.3259,                 1.3401,             4.3805e-05,             4.3805e-05,             4.3805e-05
                     47,                0.82783,                 2.3112,                 1.5389,                0.75286,                0.73117,                0.83499,                0.74897,                0.55817,                 1.2774,                 1.3294,             4.3023e-05,             4.3023e-05,             4.3023e-05
                     48,                0.79929,                 2.3252,                 1.5086,                0.73837,                0.73522,                0.84341,                0.76209,                0.53043,                 1.3057,                 1.2889,             4.2241e-05,             4.2241e-05,             4.2241e-05
                     49,                0.79456,                 2.2691,                 1.4971,                0.70697,                0.78239,                0.85746,                0.78196,                0.52068,                 1.2195,                 1.2986,             4.1459e-05,             4.1459e-05,             4.1459e-05
                     50,                0.76868,                 2.1841,                 1.4592,                0.73341,                0.73674,                0.84879,                0.76839,                0.52194,                 1.3133,                 1.2911,             4.0677e-05,             4.0677e-05,             4.0677e-05
                     51,                0.80313,                 2.1962,                 1.4829,                0.75059,                0.75388,                 0.8513,                0.78064,                0.49794,                   1.22,                 1.2716,             3.9895e-05,             3.9895e-05,             3.9895e-05
                     52,                0.75983,                  2.186,                 1.4334,                0.73149,                0.79777,                0.85812,                0.78497,                0.49667,                 1.1869,                 1.2782,             3.9113e-05,             3.9113e-05,             3.9113e-05
                     53,                0.75666,                 2.1265,                 1.4664,                0.81381,                0.74348,                0.86516,                0.78482,                0.53672,                 1.1582,                 1.2822,             3.8331e-05,             3.8331e-05,             3.8331e-05
                     54,                 0.7633,                 2.0859,                 1.4255,                0.72292,                 0.7756,                0.85712,                0.78108,                0.50964,                 1.1342,                 1.2657,             3.7549e-05,             3.7549e-05,             3.7549e-05
                     55,                0.76111,                 2.1106,                 1.4558,                0.72848,                0.77411,                0.86412,                0.79356,                0.47834,                  1.162,                 1.2396,             3.6767e-05,             3.6767e-05,             3.6767e-05
                     56,                0.74247,                 2.0706,                 1.4477,                0.78395,                0.75282,                0.86118,                0.78281,                0.49354,                 1.1043,                  1.243,             3.5984e-05,             3.5984e-05,             3.5984e-05
                     57,                0.77141,                 2.0687,                 1.4587,                0.74079,                0.77751,                0.86081,                0.79351,                0.48884,                 1.1153,                 1.2261,             3.5202e-05,             3.5202e-05,             3.5202e-05
                     58,                0.71225,                 1.9925,                 1.4032,                0.80253,                0.78234,                0.88093,                0.80989,                 0.4796,                 1.0827,                 1.2072,              3.442e-05,              3.442e-05,              3.442e-05
                     59,                0.69927,                 1.9675,                 1.3852,                 0.7854,                0.79767,                0.88179,                0.80636,                0.48816,                 1.0132,                 1.2414,             3.3638e-05,             3.3638e-05,             3.3638e-05
                     60,                0.71207,                 2.0901,                 1.4044,                 0.7788,                0.81731,                0.89716,                0.82565,                0.46664,                 1.0026,                 1.2085,             3.2856e-05,             3.2856e-05,             3.2856e-05
                     61,                0.70334,                  1.955,                 1.3705,                  0.803,                0.80931,                0.88846,                0.81827,                0.45055,                 1.0338,                 1.1815,             3.2074e-05,             3.2074e-05,             3.2074e-05
                     62,                0.68066,                 1.8934,                 1.3552,                0.81573,                0.79438,                0.89479,                0.82655,                0.46081,                0.98695,                  1.191,             3.1292e-05,             3.1292e-05,             3.1292e-05
                     63,                 0.7035,                 1.9332,                 1.3817,                0.80964,                0.80744,                0.89486,                0.82135,                0.47566,                 1.0047,                 1.2033,              3.051e-05,              3.051e-05,              3.051e-05
                     64,                0.72084,                 1.9161,                 1.3777,                0.80721,                0.80898,                0.89116,                0.82383,                0.46492,                 1.0255,                  1.203,             2.9728e-05,             2.9728e-05,             2.9728e-05
                     65,                0.67515,                 1.8429,                 1.3432,                0.75131,                0.83649,                0.88777,                0.80569,                0.48987,                0.99739,                 1.2001,             2.8946e-05,             2.8946e-05,             2.8946e-05
                     66,                 0.6798,                 1.8471,                 1.3752,                0.79375,                0.85529,                0.90525,                0.83864,                0.44956,                0.90807,                 1.1737,             2.8163e-05,             2.8163e-05,             2.8163e-05
